"promotion","promotion_cnt","year","month","months_since_promotion_max","comparatio_last","awards_points_cnt_sum_last","awards_bonus_cnt_sum_last","awards_peer_cnt_sum_last","supervisor_Y_last","tenure_in_months_last","region_America","region_Asia"
0,0,2011,9,4,0.9724,0,0,0,0,5,FALSE,FALSE
0,0,2011,6,1,0.9724,0,0,0,0,1,FALSE,FALSE
0,0,2011,8,2,0.9724,0,0,0,0,2,FALSE,TRUE
0,0,2011,8,2,0.9724,0,0,0,0,3,FALSE,TRUE
0,0,2011,6,0,0.9724,0,0,0,0,1,FALSE,TRUE
0,0,2011,7,0,0.9724,0,0,0,0,1,FALSE,TRUE
0,0,2011,7,0,0.9724,0,0,0,0,0,FALSE,TRUE
0,0,2011,9,1,0.9724,0,0,0,0,1,FALSE,TRUE
0,0,2011,8,0,0.9724,0,0,0,0,0,FALSE,TRUE
0,0,2011,9,1,0.9724,0,0,0,0,1,FALSE,TRUE
0,0,2011,9,1,0.9724,0,0,0,0,3,FALSE,TRUE
0,0,2011,12,3,0.9724,0,0,0,0,1,FALSE,TRUE
0,0,2011,8,0,0.9724,0,0,0,0,1,FALSE,TRUE
0,0,2011,8,0,0.9724,0,0,0,0,0,FALSE,TRUE
0,0,2011,8,0,0.9724,0,0,0,0,0,FALSE,TRUE
0,0,2011,10,1,0.9724,0,0,0,0,1,FALSE,TRUE
0,0,2011,10,1,0.9724,0,0,0,0,1,FALSE,TRUE
0,0,2010,11,1,0.9724,0,0,0,0,1,TRUE,FALSE
0,0,2011,4,5,0.9724,0,0,0,0,5,TRUE,FALSE
0,1,2019,6,36,0.9669,0,0,0,1,466,FALSE,TRUE
0,1,2019,6,0,0.9659,0,0,0,1,248,FALSE,TRUE
0,1,2019,6,26,1.0265,2,2,3,1,142,FALSE,TRUE
0,0,2019,6,65,1.0841,9,0,6,0,133,FALSE,TRUE
0,1,2016,12,26,0.5671,5,0,0,0,112,FALSE,TRUE
1,1,2018,5,13,0.9388,3,0,2,0,121,FALSE,TRUE
0,2,2019,6,12,0.8721,0,0,2,1,133,FALSE,TRUE
0,0,2019,6,65,0.9436,7,0,1,1,147,FALSE,TRUE
0,1,2019,6,35,0.8375,2,0,3,1,189,FALSE,TRUE
1,1,2018,7,24,1.0278,2,4,3,1,148,FALSE,TRUE
0,2,2019,6,10,0.8619,0,0,1,1,158,FALSE,TRUE
0,1,2019,6,26,1.0471,0,2,0,1,216,FALSE,TRUE
0,0,2019,4,63,0.8798,3,0,0,0,141,FALSE,TRUE
0,0,2015,11,22,0.8035,0,2,0,0,203,FALSE,TRUE
0,0,2019,6,65,1.0273,21,2,3,0,274,FALSE,TRUE
1,1,2019,5,35,1.0255,4,6,8,1,153,FALSE,TRUE
0,2,2019,6,0,0.8973,0,0,0,1,154,FALSE,TRUE
0,1,2019,6,24,0.9528,4,0,7,1,202,FALSE,TRUE
1,0,2018,2,49,0.8902,11,3,2,0,103,FALSE,TRUE
0,1,2019,6,15,0.9769,4,1,5,1,118,FALSE,TRUE
0,0,2019,6,65,0.9913,7,3,7,1,72,FALSE,TRUE
0,0,2019,6,65,1.0002,3,2,2,0,334,FALSE,TRUE
0,0,2019,6,65,1.0007,4,4,2,1,213,FALSE,TRUE
1,0,2017,11,46,0.8704,3,2,2,1,101,FALSE,TRUE
0,1,2019,6,18,1.0139,8,2,5,1,119,FALSE,TRUE
0,0,2019,6,65,0.9702,28,0,8,0,166,FALSE,TRUE
0,0,2019,6,65,0.9991,3,0,0,1,346,FALSE,TRUE
0,1,2019,6,17,0.9633,5,1,1,1,322,FALSE,TRUE
0,0,2019,6,65,1.0407,11,1,3,1,161,FALSE,TRUE
0,0,2019,6,65,1.0492,5,0,2,0,128,FALSE,TRUE
0,1,2019,6,37,1.0215,2,3,3,0,140,FALSE,TRUE
0,0,2019,6,65,0.9477,3,0,1,0,134,FALSE,TRUE
0,0,2019,6,65,1.0007,2,0,5,0,201,FALSE,TRUE
0,0,2017,3,38,0.907,0,0,0,0,391,FALSE,TRUE
0,1,2019,6,18,1.0219,4,2,0,1,406,FALSE,TRUE
0,0,2019,6,65,0.9553,3,0,0,0,358,FALSE,TRUE
0,0,2017,2,37,0.9467,1,0,0,0,426,FALSE,TRUE
0,0,2011,9,11,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,4,6,0.9724,0,0,0,0,7,FALSE,FALSE
0,0,2011,8,10,0.9724,0,0,0,1,11,FALSE,FALSE
0,0,2011,8,10,0.9724,0,0,0,0,10,FALSE,FALSE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,FALSE
0,0,2011,5,7,0.9724,0,0,0,1,8,FALSE,TRUE
0,0,2011,12,13,0.9724,0,0,0,0,11,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,1,7,FALSE,TRUE
0,0,2012,3,17,0.9724,0,0,0,0,42,FALSE,FALSE
0,0,2011,7,8,0.9724,0,0,0,0,6,FALSE,FALSE
0,0,2011,9,11,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,5,7,0.9724,0,0,0,1,8,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,1,9,FALSE,FALSE
0,0,2011,8,10,0.9724,0,0,0,1,11,FALSE,FALSE
0,0,2011,5,7,0.9724,0,0,0,1,8,FALSE,FALSE
0,0,2011,12,14,0.9724,0,0,0,1,111,FALSE,TRUE
0,0,2011,11,13,0.9724,0,0,0,0,173,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,7,FALSE,TRUE
0,0,2011,8,10,0.9724,0,0,0,0,11,FALSE,TRUE
0,0,2011,9,11,0.9724,0,0,0,0,11,FALSE,TRUE
0,0,2011,9,11,0.9724,0,0,0,1,11,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,FALSE
0,0,2019,6,46,0.9959,7,2,0,0,65,FALSE,TRUE
0,0,2011,12,14,0.9724,0,0,0,0,213,FALSE,TRUE
0,0,2011,12,14,0.9724,0,0,0,1,212,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,1,8,FALSE,TRUE
0,0,2011,9,11,0.9724,0,0,0,0,11,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,0,9,FALSE,FALSE
0,0,2011,5,7,0.9724,0,0,0,1,8,FALSE,FALSE
0,0,2011,4,6,0.9724,0,0,0,1,7,FALSE,FALSE
0,0,2011,6,8,0.9724,0,0,0,1,9,FALSE,FALSE
0,0,2011,10,12,0.9724,0,0,0,1,174,FALSE,TRUE
0,0,2011,11,13,0.9724,0,0,0,1,166,FALSE,TRUE
0,0,2011,10,12,0.9724,0,0,0,1,166,FALSE,TRUE
0,0,2011,10,12,0.9724,0,0,0,1,169,FALSE,TRUE
0,0,2011,10,12,0.9724,0,0,0,1,30,FALSE,TRUE
0,0,2011,10,12,0.9724,0,0,0,1,30,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,7,FALSE,TRUE
0,0,2011,10,12,0.9724,0,0,0,1,16,FALSE,TRUE
0,0,2011,7,9,0.9724,0,0,0,0,10,FALSE,TRUE
0,0,2012,1,15,0.9724,0,0,0,1,193,FALSE,TRUE
0,0,2011,10,12,0.9724,0,0,0,1,192,FALSE,TRUE
0,0,2011,10,12,0.9724,0,0,0,1,193,FALSE,TRUE
0,0,2011,10,12,0.9724,0,0,0,1,196,FALSE,TRUE
0,0,2011,8,10,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,8,10,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,TRUE
0,0,2011,7,9,0.9724,0,0,0,0,10,FALSE,TRUE
0,0,2011,7,9,0.9724,0,0,0,0,10,FALSE,TRUE
0,0,2011,9,11,0.9724,0,0,0,0,11,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,7,FALSE,TRUE
0,0,2011,4,6,0.9724,0,0,0,0,7,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,0,8,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,0,9,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,TRUE
0,0,2011,4,6,0.9724,0,0,0,0,7,FALSE,FALSE
0,0,2011,4,6,0.9724,0,0,0,0,7,FALSE,FALSE
0,0,2011,4,6,0.9724,0,0,0,0,7,FALSE,FALSE
0,0,2011,4,6,0.9724,0,0,0,0,7,FALSE,FALSE
0,0,2011,8,10,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,4,6,0.9724,0,0,0,0,7,FALSE,FALSE
0,0,2011,7,9,0.9724,0,0,0,0,10,FALSE,FALSE
0,0,2011,4,6,0.9724,0,0,0,0,7,FALSE,FALSE
0,0,2011,8,10,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,8,10,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,8,10,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,FALSE
0,0,2011,5,7,0.9724,0,0,0,0,7,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,0,9,FALSE,FALSE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,0,8,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,0,9,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,TRUE
0,0,2011,8,10,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,6,8,0.9724,0,0,0,0,9,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,TRUE
1,0,2011,2,4,0.9724,0,0,0,0,6,FALSE,TRUE
0,1,2011,9,6,0.9724,0,0,0,0,9,FALSE,TRUE
0,0,2011,9,11,0.9724,0,0,0,0,11,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,0,8,FALSE,TRUE
0,0,2011,7,9,0.9724,0,0,0,0,10,FALSE,FALSE
0,0,2011,12,13,0.9724,0,0,0,0,11,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,7,FALSE,TRUE
0,0,2011,9,11,0.9724,0,0,0,0,11,FALSE,TRUE
1,0,2011,5,7,0.9724,0,0,0,0,9,FALSE,FALSE
0,1,2011,8,2,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,8,10,0.9724,0,0,0,0,11,FALSE,FALSE
0,0,2011,7,9,0.9724,0,0,0,0,9,FALSE,TRUE
0,0,2011,8,9,0.9724,0,0,0,0,9,FALSE,TRUE
0,0,2011,7,9,0.9724,0,0,0,0,9,FALSE,TRUE
0,0,2011,5,7,0.9724,0,0,0,0,8,FALSE,TRUE
0,0,2011,7,9,0.9724,0,0,0,0,10,FALSE,TRUE
0,0,2011,6,8,0.9724,0,0,0,0,9,FALSE,TRUE
